    langs  wmt22-comet-da  wmt22-cometkiwi-da  chrf  bleu
0   de-en          0.8479              0.8124  56.8  30.9
1   en-de          0.8561              0.8275  60.2  31.8
2   cs-en          0.8616              0.8202  67.5  44.5
3   en-cs          0.8857              0.8293  57.9  31.3
4   ja-en          0.8152              0.8073  47.7  21.1
5   en-ja          0.8776              0.8477  31.2  21.2
6   zh-en          0.8162              0.7891  56.0  25.0
7   en-zh          0.8576              0.8126  34.6  38.3
8   ru-en          0.8480              0.8114  64.6  38.5
9   en-ru          0.8674              0.8223  54.0  27.5
10  uk-en          0.8353              0.8011  59.8  34.8
11  en-uk          0.8374              0.7953  49.6  21.1
12  is-en          0.8213              0.7872  55.6  31.9
13  en-is          0.7628              0.7396  43.5  15.9
14  ha-en          0.7610              0.7314  45.5  17.3
15  en-ha          0.7328              0.5864  38.4   9.4
16  fr-de          0.8460              0.7792  65.7  42.5
17  de-fr          0.7851              0.7611  58.9  35.6
